"ACCU-RATE CORPORATION" "2573 CARLING AVENUE" "OTTAWA" " " "K2B7H7" "6135965505"
"ADVANTAGE! FOREIGN CURRENCY SERVICES LTD" "112-8TH AVENUE S.W." "CALGARY" " " "T2P1B3" "4032861000"
"ALBERTA MOTOR ASSOCIATION TRAVEL AGENCY LTD" "10310-39A AVENUE, 4TH FLOOR" "EDMONTON" " " "T6J6R7" "7804305701"
"ALBERN COINS & FOREIGN EXCHANGE LTD." "1615 CENTRE ST. N.W." "CALGARY" " " "T2E2S2" "4032768938"
"1469280 ONTARIO INC." "407-357 HOSSMAN ST" "KITCHENER" " " "N2M3N5" "4162450805"
"ARVIN MONEY EXCHANGE INC" "5295 YONGE ST." "TORONTO" " " "M2N 5R3" "4167334060"
"B.C. CURRENCY EXCHANGE INC." "107-10230 152ND STREET" "SURREY" " " "V3R6N7" "6045832224"
"BALA SELVAM FOREIGN EXCHANGE INC" "6-2480 EGLINTON AVENUE" "SCARBOROUGH" " " "M1K2R4" "4162644000"
"BENDIX FOREIGN EXCHANGE CORPORATION" "300-360 BAY STREET" "TORONTO" " " "M5H2V6" "4163669000"
"LEE'S COINS & STAMPS LTD." " " " " " " " " "6046834241"
"BRASIL REMITTANCE INC" "1458 DUNDAS STREET W" "TORONTO" " " "M6J 1Y6" "4165880749"
"BLUE WATER BRIDGE CANADA" "1555 VENETIAN BLVD" "POINT EDWARD" " " "N7T 0A9" "5193373703"
"CANADIAN GREETINGS LTD." "1202 ROBSON STREET" "VANCOUVER" " " "V6E 1C1" "6046208341"
"DAHABSHILL FINANCIAL TRANSFERS INC." "2304 ISLINGTON AVE UNIT 301" "ETOBICOKE" " " "M9W3X2" "4166402841"
"TEHRANTO TRADE INC." "6113 YONGE ST." "NORTH YORK" " " "M2M3W2" "4162252345"
"SHIRAZ INTERNATIONAL TRADING CO" "5483 GREENLEAF LN" "WEST VANCOUVER" " " "V7W 1N5" "6047189090"
"PNB REMITTANCE COMPANY (CANADA)" "1222 CLEARWATER PLACE" "VICTORIA" " " "V9B0J2" "9058979600"
"PEKAO TRADING COMPANY (CANADA) LTD" "1610 BLOOR STREET W." "TORONTO" " " "M6P1A7" "4165881414"
"MEEST CORPORATION INC." "3507 CENTER B STREET NW" "CALGARY" " " "T2K0V9" "4162362032"
"INTERCHANGE FINANCIAL CORPORATION" "5617 YONGE STREET" "TORONTO" " " "M2M3S9" "4162277799"
"FINEX FOREX SERVICES LTD." "1771 MARINE DRIVE" "WEST VANCOUVER" " " "V7V1J5" "6046812062"
"DENARIUS FINANCIAL GROUP INC." "1179 DE LA MONTAGNE, SUITE 101" "MONTREAL" " " "H3G1Z2" "5148688888"
"DEVISES MONDIALES INC." "1, PLACE LAVAL BUREAU 156" "LAVAL" " " "H7N1A1" "4506678700"
"1556983 ONTARIO INC." "1100A DANFORTH AVENUE" "TORONTO" " " "M4J1M3" "4164657800"
"FASTCO TECH ENTERPRISES INC." "1408 MARINE DR." "WEST VANCOUVER" " " "V7T1B7" "6049132324"
"ENTEZARI TRADING LTD" "558 DUNSMUIR STREET" "VANCOUVER" " " "V6B 1Y1" "6048016361"
"F X CONNECTORS LTD." "106-1208 WHARF STREET" "VICTORIA" " " "V8W 3B9" "2503807888"
"JAMESON INTERNATIONAL FOREIGN EXCHANGE CORPORATION" " " " " " " " " "5555555555"
"K2 FOREIGN EXCHANGE INC" "350 HIGHWAY 7 EAST UNIT 217" "RICHMOND HILL" " " "L4B3N2" "9055084843"
"KINGMARK (CANADA) CURRENCY EXCHANGE INC." "1689-4500 KINGSWAY" "BURNABY" " " "V5H2A9" "6042738100"
" " "687 BLOOR STREET W." "TORONTO" " " "M6G 1L3" "4169225317"
"MABINI EXPRESS INC." "1 PROMENADE CIRCLE" "THORNHILL" " " "L4J 4P8" "4162221178"
"1211441 ONTARIO CORPORATION" "5775 YONGE STREET" "TORONTO" " " "M2M 4J1" "4164888822"
"THUNDER'S GIFT & MONEY EXCHANGE" "1286 ROBSON STREET" "VANCOUVER" " " "V6E1C1" "6046888915"
"UNITRANSFER CANADA INC." "290 CHEMIN MONTREAL SUITE 203" "VANIER" " " "K1L6B9" "5148528648"
"WINDSOR STATION CURRENCY EXCHANGE INC." "298 WALKER ROAD" "WINDSOR" " " "N8Y2M9" "5192587994"
"3487997 CANADA INC." "1253 MCGILL COLLEGE AVENUE, VILLE MARIE TUNNEL, SUITE E4" "MONTREAL" " " "H3B2Y5" "5148451113"
"CAMBRIDGE MERCANTILE CORP." "212 KING STREET WEST, SUITE 400" "TORONTO" " " "M5H1K5" "4166466401"
"CANADIAN MONETARY CONSULTANT CORPORATION" "1435-4540 NO.3 ROAD" "RICHMOND" " " "V6X 4E4" "6042329162"
"CARLTON CURRENCY INVESTMENTS INC." "162 CUMBERLAND ST." "TORONTO" " " "M5R 3N5" "4163181684"
"EURO FOREX INC." "SUITE G100 - 666 SHERBROOKE ST W" "MONTREAL" " " "H3A 1E7" "5144998972"
"COMMERCIALE I.C.-PACIFIC INC." "1117 STE-CATHERINE STREET W., SUITE 511" "MONTREAL" " " "H3B1H9" "5142899011"
"KANTOR LIMITED" "121 RUNNYMEDE ROAD" "TORONTO" " " "M6S2Y4" "4167677782"
"LIMEX INC." "1115 SHERBROOKE W." "MONTREAL" " " "H3A1H3" "5142852828"
"LYN LAN SERVICES" "145C-222 SPADINA AVENUE" "TORONTO" " " "M5T3A2" "4165982597"
"3787087 CANADA INC." "1405 DE MAISONNEUVE BLVD W" "MONTREAL" " " "H3G1M6" "5148444492"
"PACIFIC CURRENCY EXCHANGE LTD" "171-5951 MINORU BOULEVARD" "RICHMOND" " " "V6X 4B1" "6042441000"
"REMO EXCHANGE OFFICE LTD" "789 BURRARD STREET" "VANCOUVER" " " "V6Z 1X6" "6046854921"
"LONDON CURRENCY EXCHANGE INC." "105 WHARNCLIFFE ROAD S." "LONDON" " " "N6J2K2" "5194345080"
"MONEYWAY FINANCIAL GROUP CORP." "702 MAIN STREET" "WEST VANCOUVER" " " "V7T0A5" "6049238000"
"PABLA FOREIGN EXCHANGE EXPRESS INC" "30 SECRETARIAT DRIVE" "ETOBICOKE" " " "M9W6X4" "4166799510"
"RCG FOREX SERVICE CORP." "800-5951 NO.3 ROAD" "RICHMOND" " " "V6X2E3" "6048211977"
"UNITED ROYAL CURRENCY EXCHANGE LTD." "1546 LONSDALE AVE" "NORTH VANCOUVER" " " "V7M2J3" "6049881070"
"BUREAU DE CHANGE UNIVERSAL INC." "380 (W1010) ST-ANTOINE STREET W." "MONTREAL" " " "H2Y 3X7" "5148445060"
"VALEOKEIS LTD." "4931 BATHURST STREET" "TORONTO" " " "M2R1X8" "4162299219"
"TRAVELEX CANADA LIMITED" "200 ALBERT STREET N" "REGINA" " " "S4R5E2" "4163593700"
"9037-3622 QUEBEC INC." "1385A STE-CATHERINE W." "MONTREAL" " " "H3G1R1" "5148458692"
"FINMEX (CANADA) INC." "3080 YONGE STREET SUITE 5044 P.O. BOX 24" "TORONTO" " " "M4N 3N1" "4164893466"
