sources_path,name,frequency,municipality,province,od_root_url,license,description
misc/msbregistry.json,Money services,,,,https://open.canada.ca/data/en/dataset/8beacccf-3b54-4d12-9cf7-24e2ada90a83,https://open.canada.ca/en/open-government-licence-canada,
misc/open_data_cfrc{1..40}.json,Federal corporations,,,,https://open.canada.ca/data/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,https://open.canada.ca/en/open-government-licence-canada,
misc/2016charities.json,2016 List of charities,, , ,https://open.canada.ca/data/en/dataset/7ef067c4-07a8-4882-ade3-643d00fd6c49,https://open.canada.ca/en/open-government-licence-canada,
misc/bcindigenous.json,BC Indigenous businesses,,,BC,https://catalogue.data.gov.bc.ca/dataset/bc-indigenous-business-listings,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-license-bc,
qc/prov_of_quebec.json,Quebec enterprises,,,QC,https://www.donneesquebec.ca/recherche/fr/dataset/registre-des-entreprises,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.fr,
nt/yellowknife.json,,,Yellowknife,NT,http://opendata.yellowknife.ca/home/details/0ead7112-bafe-4c0d-b0ca-b2220cc6d2a9,https://www.yellowknife.ca/en/discovering-yellowknife/resources/geomatic_services/City_of_Yellowknife_Open_Data_LIcence__Terms_of_Use.pdf,
,,,Halifax,NS,,,
,,,Fredericton,NB,,,
,,,Saint John,NB,,,
,,,Gatineau,QC,,,
,,,Montréal,QC,,,
,,,Québec City,QC,,,
qc/sherbrooke.json,,,Sherbrooke,QC,https://www.donneesquebec.ca/recherche/fr/dataset/repertoire-des-commerces,https://creativecommons.org/licenses/by/4.0/deed.fr,
,,,Laval,QC,,,
,,,Repentigny,QC,,,
,,,Shawinigan,QC,,,
,,,Rimouski,QC,,,
,,,Blainville,QC,,,
on/brampton.json,,,Brampton,ON,http://geohub.brampton.ca/datasets/brampton-business-directory,http://www.brampton.ca/EN/City-Hall/OpenGov/Open-Data-Catalogue/Pages/Terms-of-Use.aspx,
,,,Burlington,ON,,,
,,,Hamilton,ON,,,
,,,London,ON,,,
on/mississauga.json,,,Mississauga,ON,http://data.mississauga.ca/datasets/0b353768119042e8866b6fece7317493_0,http://www5.mississauga.ca/research_catalogue/CityofMississauga_TermsofUse.pdf,
,,,Niagara Falls,ON,,,
,,,Ottawa,ON,,,
on/greater_sudbury.json,,,Greater Sudbury,ON,http://opendata.greatersudbury.ca/datasets/business-licenses-csv,https://www.greatersudbury.ca/city-hall/open-government/open-data/licence/,
on/toronto.json,,,Toronto,ON,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-catalogue/#fcc40488-98eb-953b-7fa1-a35dab2f818c,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/,
,,,Waterloo,ON,,,
,,,Welland,ON,,,
,,,Windsor,ON,,,
on/guelph.json,,,Guelph,ON,http://data.open.guelph.ca/dataset/business-licence,http://data.open.guelph.ca/pages/open-government-licence,
on/kitchener.json,,,Kitchener,ON,https://open-kitchenergis.opendata.arcgis.com/datasets/business-directory,https://www.kitchener.ca/en/city-services/open-data.aspx#ODLicence,
,,,Haldimand County,ON,,,
,,,Grey County,ON,,,
on/durham_region.json,,,Durham,ON,http://opendata.durham.ca/datasets/business-directory,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,
,,,Brandon,MB,,,
,,,Winnipeg,MB,,,
,,,Regina,SK,,,
,,,Saskatoon,SK,,,
ab/banff.json,,,Banff,AB,http://banffmaps.ca/opendata/,http://banffmaps.ca/opendata/,
ab/edmonton.json,,,Edmonton,AB,https://data.edmonton.ca/Sustainable-Development/City-of-Edmonton-Business-Licenses/qhi4-bdpu,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,
,,,Medicine Hat,AB,,,
,,,Red Deer,AB,,,
,,,Strathcona County,AB,,,
,,,Grande Prairie,AB,,,
ab/calgary.json,,,Calgary,AB,https://data.calgary.ca/Business-and-Economic-Activity/Calgary-Business-Licenses-Data-Lens/6zmz-cx7g,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,
,,,Chilliwack,BC,,,
bc/kelowna.json,,,Kelowna,BC,http://opendata.kelowna.ca/datasets/business-license,http://apps.kelowna.ca/images/opendata/OpenGovernmentLicence.pdf,
bc/city_of_langley.json,,,Langley,BC,https://data-tol.opendata.arcgis.com/datasets/business-licenses,https://www.tol.ca/connect/talk-to-us/freedom-of-information/open-data-license/,
,,,Maple Ridge,BC,http://opengov.mapleridge.ca/datasets/business-licences,http://opengov.mapleridge.ca/pages/open-government-licence,
bc/nanaimo.json,,,Nanaimo,BC,https://www.nanaimo.ca/open-data-catalogue/DataBrowser/nanaimo/BusinessLicences#param=NOFILTER--DataView--Results,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,
,,,Prince George,BC,,,
,,,Saanich,BC,,,
bc/city_of_surrey.json,,,Surrey,BC,https://data.surrey.ca/dataset/business-licences,http://data.surrey.ca/pages/open-government-licence-surrey,
bc/city_of_new_westminster.json,,,New Westminster,BC,http://opendata.newwestcity.ca/datasets,http://opendata.newwestcity.ca/licence,
,,,North Vancouver,BC,,,
bc/city_of_port_moody.json,,,Port Moody,BC,https://data.portmoody.ca/Building-Bylaw-and-Licensing/Business-Licence-Applications/xfrv-yr4p,http://www.portmoody.ca/index.aspx?page=1354,
