"HS10-SH10","DESCRIPTION_ENG","DESCRIPTION_FRA"
"0101210000","Horses, live, pure-bred breeding","Chevaux vivants, reproducteurs de race pure"
"0101290090","Horses, live, other than pure-bred breeding, o/t for slaug","Chevaux vivants,a/q reproducteur de race pure,a/q pour abattage ou de course,nda"
"0101300000","Asses, live","Ânes vivants"
"0101900000","Mules and hinnies, live","Mulets et bardots vivants"
"0102210010","Cattle, live, pure-bred breeding, dairy","Bovins domestiques, vivants, reproducteurs de race pure, laitiers"
"0102210090","Cattle, live, pure-bred breeding, except dairy, nes","Bovins domestiques, vivants, reproducteurs de race pure, a/q laitiers, nda"
"0102290010","Cattle, live, dairy, other than pure-bred breeding","Bovins domestiques, vivants, laitiers, a/q reproducteurs de race pure"
"0102290090","Cattle, live, other than pure-bred breeding and other than","Bovins domestique, vivant, a/q reproducteur de race pure et a/q laitier,nda"
"0102310000","Buffalo, live, pure-bred breeding","Buffles vivants, reproducteurs de race pure"
"0102390000","Buffalo, live, other than pure-bred breeding","Buffles vivants, autres que reproducteurs de race pure"
"0102900000","Other bovine, live, other than cattle and other than buffa","Autres bovins, vivants, autres que bovins domestiques et autres que buffles, nda"
"0103100000","Swine, live, pure-bred breeding","Animaux de l'espèce porcine, vivants, reproducteurs de race pure"
"0103910000","Swine, live, except pure-bred breeding, weighing less than","Animaux espèce porcine, vivants, a/q reproducteurs de race pure, poids < 50 kg"
"0103920000","Swine, live, except pure-bred breeding, weighing 50 kg or","Animaux espèce porcine, vivants, a/q reproducteurs de race pure, poids >=50 kg"
"0104100010","Sheep, live, pure-bred breeding","Animaux de l'espèce ovine, vivants, reproducteurs de race pure"
"0104100090","Sheep, live, except pure-bred breeding","Animaux de l'espèce ovine, vivants, a/q reproducteurs de race pure"
"0104200010","Goats, live, pure-bred breeding","Animaux de l'espèce caprine, vivants, reproducteurs de race pure"
"0104200090","Goats, live, except pure-bred breeding","Animaux de l'espèce caprine, vivants, a/q reproducteurs de race pure"
"0105111000","Fowls,(Gallus dom), live, breeding, weighing not more than","Coqs et poules, espèces domestiques, vivants, reproducteurs, poids <=185 g"
"0105112100","Fowls,(Gallus dom),broilers,live,dom production,wt not mor","Grilloirs,domes, vivants,pour la production nationale,poids <=185 g, e/d acc"
"0105112200","Fowls,(Gallus dom), broilers,live,for dom production,wt no","Grilloirs,domes,vivants,pour la production nationale, poids <=185 g, a/d acc"
"0105119000","Fowls,(Gallus dom), live, except breeding, weighing not mo","Coqs et poules, espèces domestiques, vivants, a/q reproducteurs, poids <=185 g"
"0105121000","Turkeys,live, dom, for breeding,weighing not more than 185","Dindons et dindes,vivants, domes, reproducteurs, poids n'excédant pas 185 g"
"0105129000","Turkeys live, except breeding,weighing not more than 185g","Dindons et dindes, vivants, a/q reproducteurs, poids n'excédant pas 185 g"
"0105131000","Ducks, domestic, live, for breeding purposes, weighing <=","Canards domestiques, vivants, pour reproduction, poids <= 185 g"
"0105139000","Ducks, domestic, live, other than for breeding purposes, w","Canards domestiques, vivants, a/q pour reproduction, poids <= 185 g, nda"
"0105141000","Geese, domestic, live, for breeding purposes, weighing <=","Oies domestiques, vivantes, pour reproduction, poids <= 185 g"
"0105149000","Geese, domestic, live, other than for breeding purposes, w","Oies domestiques, vivantes, a/q pour reproduction, poids <= 185 g, nda"
"0105151000","Guinea fowls, domestic, live, for breeding purposes, weigh","Pintades domestiques, vivantes, pour reproduction, poids <= 185 g"
