REF NO, NAME, ADDRESS, CITY, PROVINCE, POSTALCODE
2007,"ADRICE CORMIER LTD.","516 CHEMIN BAS","BAS-CAP-PELÉ","NB","E4N3B3"
2405,"ALVIN & RUFIN BOUDREAU & SONS LTD.","1724 ROUTE 950","TROIS-RUISSEAUX","NB","E4N2Z6"
2447,"AMCO FISHERIES LTD. (PLANT #1)","915 ROUTE 950","BAS-CAP-PELÉ","NB","E4N3B3"
2407,"AMCO FISHERIES LTD","896 CHEMIN BAS-CAP-PELÉ","BAS-CAP-PELÉ","NB","E4N1K3"
0134,"B.A. RICHARD LTD.","374 CHEMIN COTE SAINTE-ANNE","STE. ANNE DE KENT","NB","E4S1M6"
0429,"BAIE STE- ANNE SEAFOODS (2014) INC.","143 CHEMIN ESCUMINAC POINT","ESCUMINAC","NB","E9A1V6"
1207,"BOTSFORD FISHERIES LTD.","2112 ROUTE 950","PETIT-CAP","NB","E4N2J8"
2404,"BOUDREAU FARM & SEA PRODUCTS LTD","1920 ROUTE 950","PETIT-CAP","NB","E4N2J2"
2444,"BRUN FISHERIES LTD.","73 CHEMIN DE L'ÎLE","PETIT-CAP","NB","E4N2G6"
2453,"BOTSFORD FISHERIES LTD.","2181 ROUTE 950","PETIT-CAP","NB","E4N2H8"
0220,"ABRIEL FISHERIES COMPANY","368 COOPER'S ROAD","TANGIER","NS","B0J3H0"
2432,"COCAGNE SEAFOOD (1995) LTD.","4638 ROUTE 134","COCAGNE","NB","E4R3R3"
0222,"CONNORS BROS. CLOVER LEAF SEAFOODS COMPANY","180 BRUNSWICK STREET","BLACKS HARBOUR","NB","E5H1G6"
0007,"NOTRE DAME SEAFOODS INC.","13-23 COVE ROAD","COMFORT COVE","NL","A0G3K0"
3061,"SILVER ROE SEAFOODS LIMITED","270 DENNIS POINT RD.","LOWER WEST PUBNICO","NS","B0W2C0"
0025,"QUIN-SEA FISHERIES LIMITED","257-269 MARINE DRIVE","SOUTHERN HARBOUR","NL","A0B3H0"
1119,"PRINCETON SEAWATER FISHERIES LIMITED","MAIN ROAD","PRINCETON","NL","A0C2K0"
3501,"ST. MARY'S RIVER SMOKEHOUSES","8000 HWY 7","SHERBROOKE","NS","BOJ3C0"
0171,"QUIN-SEA FISHERIES LIMITED","50-70 MARINE DRIVE","OLD PERLICAN","NL","A0A3G0"
0098,"QUINLAN BROTHERS, LIMITED","73-79 MARINE DRIVE","OLD PERLICAN","NL","A0A3G0"
0130,"QUINLAN BROTHERS LIMITED","6 WHARF RD","BAY DE VERDE","NL","-"
1083,"OCEAN FRESH MUSSEL GROWERS LTD","WHARF LOOP ROAD","SUMMERFORD","NL","A0G2E0"
0082,"NATURES SEA FARMS INC.","5 WHARF LANE","ST. ALBAN'S","NL","A0H2E0"
1467,"YARMOUTH SEA PRODUCTS LIMITED","34 PETER DUGAS ROAD","METEGHAN","NS","B0W2J0"
0278,"STONEY ISLAND FISHERIES LIMITED","78 BULL HEAD ROAD","STONEY ISLAND","NS","B0W3J0"
3348,"TRIPLE "M" SEAFOODS LIMITED","15 RALPHIES LANE","LITTLE RIVER HARBOUR","NS","B0W1B0"
1074,"ST. ANTHONY SEAFOODS LIMITED PARTNERSHIP","240 B EAST STREET","ST. ANTHONY","NL","A0K4T0"
1483,"VICTORIA CO-OPERATIVE FISHERIES LIMITED","247 NEW HAVEN ROAD","NEW HAVEN","NS","B0C1N0"
0046,"OCEAN CHOICE INTERNATIONAL L.P.","#10 MAIN ROAD","SUMMERVILLE","NL","-"
2206,"AQUASHELL HOLDINGS INC.","13915 ROUTE 6","WALLACE","NS","B0K1Y0"
1216,"WM. R. MURPHY FISHERIES LIMITED","52 WHARF ROAD","LITTLE RIVER HARBOUR","NS","B0W1B0"
3136,"WOODS HARBOUR LOBSTER CO. LTD.","32-34 FERRY ROAD","WOODS HARBOUR","NS","B0W2E0"
